scene,setup,room,object,
1,0,12,"000E",
1,0,12,"0038",
1,0,12,"0168",
1,0,12,"011B",
1,0,12,"0163",
1,0,12,"0024",
1,0,12,"0188",
1,0,12,"00A4",
1,0,12,"0036",
1,0,12,"001F",
1,0,12,"000D",
1,0,12,"0170",
1,0,13,"002B",
1,0,13,"00A4",
1,0,13,"0024",
1,0,13,"000D",
1,0,13,"015C",
1,0,13,"004A",
1,0,13,"012B",
1,0,14,"002B",
1,0,14,"012B",
1,0,14,"00A2",
1,0,14,"000E",
1,0,14,"0009",
1,0,15,"002B",
1,0,15,"0190",
1,0,15,"0024",
1,0,15,"015C",
1,0,15,"00A8",
1,0,16,"002B",
1,0,16,"001F",
1,0,16,"001B",
1,0,16,"0059",
1,0,16,"0038",
1,0,16,"0179",
1,0,16,"00A4",
1,0,16,"015C",
1,0,16,"0024",
2,0,0,"0096",
2,0,0,"018B",
2,0,0,"012B",
2,0,0,"000E",
2,0,0,"0163",
2,0,0,"0007",
2,0,0,"0012",
2,0,0,"013A",
2,0,0,"0190",
2,0,0,"00A8",
2,0,0,"0031",
2,0,1,"0096",
2,0,1,"018B",
2,0,1,"012B",
2,0,1,"000E",
2,0,1,"0021",
2,0,1,"0026",
2,0,1,"00D5",
2,0,1,"00AC",
2,0,1,"00B7",
2,0,1,"0059",
2,0,1,"013A",
2,0,2,"0096",
2,0,2,"00A3",
2,0,2,"018B",
2,0,2,"012B",
2,0,2,"0021",
2,0,2,"0012",
2,0,2,"000E",
2,0,2,"0163",
2,0,2,"013A",
2,0,2,"0031",
2,0,2,"00AC",
2,0,2,"0024",
2,0,2,"015C",
2,0,2,"00D5",
2,0,3,"0096",
2,0,3,"00A3",
2,0,3,"018B",
2,0,3,"012B",
2,0,3,"0021",
2,0,3,"0012",
2,0,3,"000E",
2,0,3,"0163",
2,0,3,"013A",
2,0,3,"0031",
2,0,3,"00AC",
2,0,3,"0024",
2,0,3,"015C",
2,0,3,"00D5",
2,0,4,"0096",
2,0,4,"012B",
2,0,4,"011C",
2,0,4,"00D4",
2,0,4,"001B",
2,0,4,"00AC",
2,0,4,"011D",
2,0,4,"018B",
2,0,4,"00CB",
2,0,4,"00DC",
2,0,5,"0096",
2,0,5,"00D4",
2,0,5,"018B",
2,0,5,"011C",
2,0,5,"000E",
2,0,5,"012B",
2,0,5,"00DC",
2,0,5,"00CB",
2,0,5,"015C",
2,0,5,"0024",
2,0,6,"0096",
2,0,6,"00A3",
2,0,6,"015F",
2,0,6,"0012",
2,0,6,"0021",
2,0,6,"0056",
2,0,6,"0026",
2,0,6,"0090",
2,0,6,"00AD",
2,0,6,"012B",
2,0,6,"018B",
2,0,7,"0096",
2,0,7,"0022",
2,0,7,"00D5",
2,0,7,"0012",
2,0,7,"0056",
2,0,7,"0036",
2,0,7,"012B",
2,0,7,"0163",
2,0,7,"001B",
2,0,8,"0096",
2,0,8,"00A3",
2,0,8,"00D5",
2,0,8,"000E",
2,0,9,"0096",
2,0,9,"00A3",
2,0,9,"00D5",
2,0,9,"000E",
2,0,10,"0096",
2,0,10,"00A3",
2,0,10,"00D5",
2,0,11,"0096",
2,0,11,"00A3",
2,0,11,"000E",
2,0,11,"018B",
2,0,11,"00A8",
2,0,11,"0190",
2,0,11,"00D4",
2,0,11,"012B",
2,0,11,"011C",
2,0,11,"00CB",
2,0,11,"00DC",
2,0,11,"0090",
2,0,11,"00A4",
2,0,12,"0096",
2,0,12,"00A3",
2,0,12,"0190",
2,0,12,"00A8",
2,0,12,"013A",
2,0,12,"012B",
2,0,12,"0024",
2,0,12,"015C",
2,0,12,"0163",
2,0,12,"0022",
2,0,12,"0012",
2,0,13,"0096",
2,0,13,"00A3",
2,0,13,"0026",
2,0,13,"000D",
2,0,13,"011C",
2,0,13,"0036",
2,0,13,"0024",
2,0,13,"015C",
2,0,14,"0096",
2,0,14,"000E",
2,0,14,"0026",
2,0,14,"001B",
2,0,14,"0190",
2,0,14,"00A8",
2,0,14,"012B",
2,0,14,"00D4",
2,0,14,"00CB",
2,0,14,"00DC",
2,0,14,"015C",
2,0,14,"0024",
2,0,14,"0090",
2,0,14,"0059",
2,0,14,"013A",
2,0,15,"0096",
2,0,15,"00A3",
2,0,15,"0007",
2,0,15,"0012",
2,0,15,"0021",
2,0,15,"0056",
2,0,15,"0026",
2,0,15,"00AC",
3,0,0,"0073",
3,0,0,"0072",
3,0,0,"000E",
3,0,0,"00A4",
3,0,0,"005D",
3,0,0,"0024",
3,0,0,"015C",
3,0,1,"0073",
3,0,1,"0072",
3,0,1,"000E",
3,0,1,"00A4",
3,0,1,"005D",
3,0,1,"0024",
3,0,1,"0190",
3,0,1,"00A8",
3,0,2,"0073",
3,0,2,"0072",
3,0,2,"000E",
3,0,2,"00A4",
3,0,2,"005D",
3,0,2,"0024",
3,0,2,"0007",
3,0,2,"0039",
3,0,2,"00B7",
3,0,2,"015C",
3,0,2,"0190",
3,0,2,"00A8",
3,0,2,"0099",
3,0,3,"0073",
3,0,3,"0072",
3,0,3,"000E",
3,0,3,"00A4",
3,0,3,"005D",
3,0,3,"0024",
3,0,4,"0073",
3,0,4,"0072",
3,0,4,"000E",
3,0,4,"00A4",
3,0,4,"005D",
3,0,4,"0024",
3,0,4,"0190",
3,0,4,"00A8",
3,0,5,"0073",
3,0,5,"0072",
3,0,5,"000E",
3,0,5,"00A4",
3,0,5,"005D",
3,0,5,"0024",
3,0,5,"0032",
3,0,6,"0073",
3,0,6,"0072",
3,0,6,"000E",
3,0,6,"00A4",
3,0,6,"005D",
3,0,6,"0024",
3,0,6,"0032",
3,0,6,"0190",
3,0,6,"00A8",
3,0,6,"0183",
3,0,7,"0073",
3,0,7,"0072",
3,0,7,"000E",
3,0,7,"00A4",
3,0,7,"005D",
3,0,7,"0024",
3,0,7,"0179",
3,0,7,"0036",
3,0,7,"0039",
3,0,7,"011C",
3,0,7,"00B7",
3,0,7,"015C",
3,0,7,"0190",
3,0,7,"00A8",
3,0,8,"0073",
3,0,8,"0072",
3,0,8,"000E",
3,0,8,"00A4",
3,0,8,"005D",
3,0,8,"0024",
3,0,8,"0179",
3,0,8,"0036",
3,0,8,"0039",
3,0,8,"0007",
3,0,8,"00B7",
3,0,8,"015C",
3,0,9,"0073",
3,0,9,"0072",
3,0,9,"000E",
3,0,9,"00A4",
3,0,9,"005D",
3,0,9,"0024",
3,0,9,"0007",
3,0,9,"0039",
3,0,9,"00B7",
3,0,10,"0073",
3,0,10,"0072",
3,0,10,"000E",
3,0,10,"00A4",
3,0,10,"005D",
3,0,10,"0024",
3,0,10,"0179",
3,0,10,"0036",
3,0,10,"0039",
3,0,11,"0073",
3,0,11,"0072",
3,0,11,"000E",
3,0,11,"00A4",
3,0,11,"005D",
3,0,11,"0024",
3,0,11,"0179",
3,0,11,"005C",
3,0,11,"006F",
3,0,11,"00B7",
3,0,11,"011C",
3,0,12,"0073",
3,0,12,"0072",
3,0,12,"000E",
3,0,12,"00A4",
3,0,12,"005D",
3,0,12,"0024",
3,0,12,"0179",
3,0,12,"005C",
3,0,12,"006F",
3,0,12,"0099",
3,0,13,"0073",
3,0,13,"0072",
3,0,13,"000E",
3,0,13,"00A4",
3,0,13,"005D",
3,0,13,"0024",
3,0,13,"0070",
3,0,13,"0071",
3,0,13,"0099",
3,0,14,"0073",
3,0,14,"0072",
3,0,14,"000E",
3,0,14,"00A4",
3,0,14,"005D",
3,0,14,"0024",
3,0,14,"0070",
3,0,14,"0071",
3,0,14,"0179",
3,0,15,"0073",
3,0,15,"0072",
3,0,15,"000E",
3,0,15,"00A4",
3,0,15,"005D",
3,0,15,"0024",
3,0,16,"0073",
3,0,16,"0072",
3,0,16,"000E",
3,0,16,"00A4",
3,0,16,"005D",
3,0,16,"0024",
3,0,16,"0099",
3,0,17,"0073",
3,0,17,"0072",
3,0,17,"000E",
3,0,17,"00A4",
3,0,17,"005D",
3,0,17,"0024",
3,0,17,"015C",
3,0,17,"00B0",
3,0,18,"0073",
3,0,18,"0072",
3,0,18,"000E",
3,0,18,"00A4",
3,0,18,"005D",
3,0,18,"0024",
3,0,18,"000B",
3,0,18,"0098",
3,0,19,"0073",
3,0,19,"0072",
3,0,19,"000E",
3,0,19,"00A4",
3,0,19,"005D",
3,0,19,"0024",
3,0,19,"0179",
3,0,19,"005C",
3,0,19,"006F",
3,0,19,"000B",
3,0,20,"0073",
3,0,20,"0072",
3,0,20,"000E",
3,0,20,"00A4",
3,0,20,"005D",
3,0,20,"0024",
3,0,20,"0070",
3,0,20,"0071",
3,0,20,"000B",
3,0,21,"0073",
3,0,21,"0072",
3,0,21,"000E",
3,0,21,"00A4",
3,0,21,"005D",
3,0,21,"0024",
3,0,21,"0179",
3,0,21,"005C",
3,0,21,"006F",
3,0,21,"000B",
3,0,22,"0073",
3,0,22,"0072",
3,0,22,"000E",
3,0,22,"00A4",
3,0,22,"005D",
3,0,22,"0024",
3,0,22,"015C",
3,0,22,"00B0",
4,0,0,"002C",
4,0,0,"000E",
4,0,0,"00A4",
4,0,0,"018E",
4,0,1,"002C",
4,0,1,"011C",
4,0,1,"00A4",
4,0,1,"000E",
4,0,1,"0024",
4,0,1,"015C",
4,0,2,"002C",
4,0,2,"000E",
4,0,2,"00A4",
4,0,2,"0170",
4,0,2,"009D",
4,0,2,"00B0",
4,0,2,"011C",
4,0,2,"0190",
4,0,2,"00A8",
4,0,2,"0024",
4,0,2,"015C",
4,0,3,"002C",
4,0,3,"00A4",
4,0,3,"000E",
4,0,3,"009E",
4,0,4,"002C",
4,0,4,"000E",
4,0,4,"011C",
4,0,4,"00A4",
4,0,4,"001B",
4,0,4,"0170",
4,0,4,"0190",
4,0,4,"00A8",
4,0,4,"0024",
4,0,5,"002C",
4,0,5,"000E",
4,0,5,"011C",
4,0,5,"00A4",
4,0,5,"001B",
4,0,5,"0170",
4,0,5,"0190",
4,0,5,"00A8",
4,0,5,"0024",
4,0,6,"002C",
4,0,6,"011C",
4,0,6,"00A4",
4,0,6,"000E",
4,0,6,"0024",
4,0,6,"015C",
4,0,7,"002C",
4,0,7,"0025",
4,0,7,"011C",
4,0,8,"002C",
4,0,8,"011C",
4,0,8,"00A4",
4,0,8,"000E",
4,0,8,"0024",
4,0,8,"015C",
4,0,9,"002C",
4,0,9,"018E",
4,0,10,"002C",
4,0,10,"000E",
4,0,10,"00A4",
4,0,10,"0170",
4,0,10,"009D",
4,0,10,"00B0",
4,0,10,"011C",
4,0,10,"0190",
4,0,10,"00A8",
4,0,10,"0024",
4,0,10,"015C",
4,0,11,"002C",
4,0,11,"00A4",
4,0,11,"000E",
4,0,11,"011C",
4,0,11,"0024",
4,0,11,"015C",
4,0,11,"0154",
4,0,12,"002C",
4,0,12,"0025",
4,0,12,"005D",
4,0,12,"000D",
4,0,12,"0085",
4,0,12,"00A4",
4,0,12,"005F",
4,0,13,"002C",
4,0,13,"00A4",
4,0,13,"000E",
4,0,13,"011C",
4,0,13,"0024",
4,0,13,"015C",
4,0,13,"0154",
4,0,14,"002C",
4,0,14,"00A4",
4,0,14,"000E",
4,0,14,"0032",
4,0,15,"002C",
4,0,15,"0032",
4,0,15,"000D",
4,0,16,"002C",
4,0,16,"00A4",
4,0,16,"000E",
4,0,16,"011C",
4,0,16,"0170",
4,0,17,"002C",
4,0,17,"00C9",
4,0,17,"000E",
4,0,17,"00D4",
4,0,17,"00F2",
4,0,18,"002C",
4,0,18,"005F",
4,0,18,"0106",
4,0,18,"016C",
4,0,19,"002C",
4,0,19,"00A4",
4,0,19,"005F",
4,0,19,"000E",
4,0,19,"011C",
4,0,20,"002C",
4,0,20,"000E",
4,0,20,"00A4",
4,0,20,"00C9",
4,0,20,"0024",
4,0,20,"015C",
4,0,21,"002C",
4,0,21,"00A4",
4,0,21,"00B7",
4,0,22,"002C",
4,0,22,"000E",
4,0,22,"00A4",
4,0,22,"00C9",
4,0,22,"00D4",
4,0,23,"002C",
4,0,23,"0025",
4,0,23,"005D",
4,0,23,"000D",
4,0,23,"0085",
4,0,23,"00A4",
4,0,23,"005F",
4,0,23,"000E",
4,0,23,"00C9",
4,0,24,"002C",
4,0,24,"009E",
4,0,24,"00AA",
4,0,25,"002C",
4,0,25,"0024",
4,0,25,"015C",
4,0,25,"001B",
4,0,26,"002C",
4,0,26,"000E",
4,0,26,"00A4",
4,0,26,"0170",
4,0,26,"009D",
4,0,26,"00B0",
4,0,26,"011C",
4,0,26,"0190",
4,0,26,"00A8",
4,0,26,"0024",
4,0,26,"015C",
5,0,0,"0059",
5,0,0,"00A4",
5,0,0,"000E",
5,0,0,"011C",
5,0,0,"0190",
5,0,0,"00A8",
5,0,1,"0059",
5,0,1,"00A4",
5,0,1,"000E",
5,0,1,"011C",
5,0,1,"0190",
5,0,1,"00A8",
5,0,1,"0170",
5,0,2,"0059",
5,0,2,"00A4",
5,0,2,"000E",
5,0,2,"011C",
5,0,2,"0170",
5,0,2,"011D",
5,0,2,"00E5",
5,0,3,"0059",
5,0,3,"00A4",
5,0,3,"0024",
5,0,3,"011C",
5,0,3,"0170",
5,0,3,"0154",
5,0,3,"015C",
5,0,3,"0032",
5,0,4,"0059",
5,0,4,"00A4",
5,0,4,"000E",
5,0,4,"011C",
5,0,4,"0170",
5,0,5,"0059",
5,0,5,"013B",
5,0,5,"013A",
5,0,5,"011C",
5,0,5,"00B5",
5,0,5,"00E5",
5,0,5,"0016",
5,0,5,"0012",
5,0,5,"0026",
5,0,5,"000D",
5,0,5,"0024",
5,0,5,"015C",
5,0,6,"0059",
5,0,6,"0125",
5,0,6,"011C",
5,0,6,"0032",
5,0,7,"0059",
5,0,7,"0125",
5,0,7,"013B",
5,0,7,"013A",
5,0,7,"00B5",
5,0,7,"00E5",
5,0,7,"0016",
5,0,7,"0012",
5,0,7,"0026",
5,0,7,"011C",
5,0,7,"000E",
5,0,7,"0090",
5,0,7,"0190",
5,0,7,"00A8",
5,0,8,"0059",
5,0,8,"0170",
5,0,8,"011C",
5,0,8,"011D",
5,0,8,"00A4",
5,0,9,"0059",
5,0,9,"013A",
5,0,9,"011C",
5,0,9,"00A4",
5,0,9,"000E",
5,0,9,"0170",
5,0,10,"0059",
5,0,10,"0170",
5,0,10,"011C",
5,0,10,"000E",
5,0,10,"0024",
5,0,10,"015C",
5,0,10,"001B",
5,0,11,"0059",
5,0,11,"013B",
5,0,11,"013A",
5,0,11,"011C",
5,0,11,"00B5",
5,0,11,"00E5",
5,0,11,"0016",
5,0,11,"0012",
5,0,11,"0026",
5,0,11,"00B0",
5,0,11,"0090",
5,0,11,"0085",
5,0,12,"0059",
5,0,12,"013B",
5,0,12,"011C",
5,0,12,"0154",
5,0,12,"00A4",
5,0,12,"0170",
5,0,12,"0024",
5,0,12,"015C",
5,0,13,"0059",
5,0,13,"0125",
5,0,13,"013B",
5,0,13,"013A",
5,0,13,"0020",
5,0,14,"0059",
5,0,14,"011C",
5,0,14,"000E",
5,0,14,"0170",
5,0,14,"000C",
5,0,15,"0059",
5,0,15,"013B",
5,0,15,"013A",
5,0,15,"011C",
5,0,15,"00B5",
5,0,15,"00E5",
5,0,15,"0016",
5,0,15,"0012",
5,0,15,"0026",
5,0,15,"000E",
5,0,15,"00A4",
5,0,15,"0090",
5,0,16,"0059",
5,0,16,"000E",
5,0,16,"0032",
5,0,16,"0170",
5,0,16,"00AA",
5,0,17,"0059",
5,0,17,"000E",
5,0,17,"011C",
5,0,17,"00A4",
5,0,17,"00CA",
5,0,17,"0190",
5,0,17,"00A8",
5,0,18,"0059",
5,0,18,"000E",
5,0,18,"011C",
5,0,18,"00E5",
5,0,18,"001B",
5,0,19,"0059",
5,0,19,"000E",
5,0,19,"011C",
5,0,19,"0032",
5,0,20,"0059",
5,0,20,"000E",
5,0,20,"011C",
5,0,20,"0170",
5,0,20,"001B",
5,0,20,"0024",
5,0,20,"015C",
5,0,20,"00A4",
5,0,21,"0059",
5,0,21,"013B",
5,0,21,"011C",
5,0,21,"0024",
5,0,21,"015C",
5,0,22,"0059",
5,0,22,"013B",
5,0,22,"013A",
5,0,22,"011C",
5,0,22,"00B5",
5,0,22,"00E5",
5,0,22,"0016",
5,0,22,"0012",
5,0,22,"0026",
5,0,22,"00B0",
6,0,0,"00F1",
6,0,0,"016D",
6,0,0,"0163",
6,0,0,"000E",
6,0,0,"013A",
6,0,0,"011E",
6,0,0,"011C",
6,0,0,"0025",
6,0,0,"00B3",
6,0,0,"00B7",
6,0,1,"00F1",
6,0,1,"016D",
6,0,1,"0163",
6,0,1,"000E",
6,0,1,"013A",
6,0,1,"011E",
6,0,1,"011C",
6,0,1,"0025",
6,0,1,"00B3",
6,0,1,"00B7",
6,0,2,"00F1",
6,0,2,"016D",
6,0,2,"0163",
6,0,2,"0098",
6,0,2,"00A2",
6,0,2,"0179",
6,0,3,"00F1",
6,0,3,"016D",
6,0,3,"000E",
6,0,3,"00D6",
6,0,3,"000D",
6,0,3,"00A4",
6,0,3,"0114",
6,0,3,"00A2",
6,0,4,"00F1",
6,0,4,"016D",
6,0,4,"00AB",
6,0,4,"012A",
6,0,4,"000E",
6,0,4,"001F",
6,0,4,"0059",
6,0,4,"008B",
6,0,4,"000D",
6,0,4,"00D4",
6,0,4,"00CB",
6,0,4,"00DC",
6,0,4,"00F2",
6,0,5,"00F1",
6,0,5,"016D",
6,0,5,"00AB",
6,0,5,"00B0",
6,0,5,"00A4",
6,0,5,"012A",
6,0,5,"000E",
6,0,5,"0154",
6,0,5,"0190",
6,0,5,"00A8",
6,0,5,"016C",
6,0,5,"000B",
6,0,5,"0170",
6,0,6,"00F1",
6,0,6,"016D",
6,0,6,"0163",
6,0,6,"000E",
6,0,6,"013A",
6,0,6,"011E",
6,0,6,"011C",
6,0,6,"0025",
6,0,6,"00B3",
6,0,6,"00B7",
6,0,7,"00F1",
6,0,7,"016D",
6,0,7,"002C",
6,0,8,"00F1",
6,0,8,"016D",
6,0,8,"00AB",
6,0,8,"012A",
6,0,8,"000E",
6,0,8,"005D",
6,0,8,"000B",
6,0,8,"0024",
6,0,8,"015C",
6,0,8,"011C",
6,0,8,"0179",
6,0,9,"00F1",
6,0,9,"016D",
6,0,9,"002C",
6,0,9,"0024",
6,0,10,"00F1",
6,0,10,"016D",
6,0,10,"016C",
6,0,10,"0106",
6,0,11,"00F1",
6,0,11,"016D",
6,0,11,"016C",
6,0,11,"0106",
6,0,12,"00F1",
6,0,12,"016D",
6,0,12,"000E",
6,0,12,"0024",
6,0,12,"015C",
6,0,12,"007C",
6,0,13,"00F1",
6,0,13,"016D",
6,0,13,"011F",
6,0,13,"0059",
6,0,13,"0190",
6,0,13,"00A8",
6,0,13,"00F0",
6,0,13,"012A",
6,0,13,"011F",
6,0,13,"0030",
6,0,14,"00F1",
6,0,14,"016D",
6,0,14,"0017",
6,0,14,"000E",
6,0,14,"0024",
6,0,14,"015C",
6,0,15,"00F1",
6,0,15,"016D",
6,0,15,"00AB",
6,0,15,"012A",
6,0,15,"0032",
6,0,15,"000B",
6,0,15,"0059",
6,0,15,"0085",
6,0,16,"00F1",
6,0,16,"016D",
6,0,16,"002C",
6,0,16,"011C",
6,0,16,"016C",
6,0,17,"00F1",
6,0,17,"016D",
6,0,17,"000E",
6,0,17,"008B",
6,0,17,"0190",
6,0,17,"00A8",
6,0,18,"00F1",
6,0,18,"016D",
6,0,18,"00AB",
6,0,18,"012A",
6,0,18,"0190",
6,0,18,"00A8",
6,0,18,"001B",
6,0,18,"000E",
6,0,18,"0114",
6,0,19,"00F1",
6,0,19,"016D",
6,0,19,"000E",
6,0,19,"000B",
6,0,20,"00F1",
6,0,20,"016D",
6,0,20,"016C",
6,0,20,"0106",
6,0,21,"00F1",
6,0,21,"016D",
6,0,21,"000E",
6,0,21,"0098",
6,0,22,"00F1",
6,0,22,"016D",
6,0,22,"015C",
6,0,22,"0024",
6,0,22,"0106",
6,0,22,"016C",
6,0,23,"00F1",
6,0,23,"016D",
6,0,23,"00B7",
6,0,23,"00A4",
6,0,23,"000D",
6,0,23,"0025",
6,0,24,"00F1",
6,0,24,"016D",
6,0,25,"00F1",
6,0,25,"016D",
6,0,25,"00AB",
6,0,25,"00B0",
6,0,25,"00A4",
6,0,25,"012A",
6,0,25,"000E",
6,0,25,"0154",
6,0,25,"0190",
6,0,25,"00A8",
6,0,25,"016C",
6,0,25,"000B",
6,0,25,"0170",
6,0,26,"00F1",
6,0,26,"016D",
6,0,26,"00AB",
6,0,26,"001B",
6,0,26,"005D",
6,0,26,"000E",
6,0,26,"012A",
6,0,26,"0025",
6,0,27,"00F1",
6,0,27,"016D",
6,0,27,"0069",
6,0,27,"0032",
6,0,28,"00F1",
6,0,28,"016D",
6,0,28,"00AB",
6,0,28,"00B0",
6,0,28,"00A4",
6,0,28,"012A",
6,0,28,"000E",
6,0,28,"0154",
6,0,28,"0190",
6,0,28,"00A8",
6,0,28,"016C",
6,0,28,"000B",
6,0,28,"0170",
7,0,0,"0069",
7,0,0,"0187",
7,0,0,"000E",
7,0,0,"00A4",
7,0,0,"0190",
7,0,0,"00A8",
7,0,0,"0179",
7,0,1,"0069",
7,0,1,"0187",
7,0,1,"000E",
7,0,1,"00A4",
7,0,1,"0190",
7,0,1,"00A8",
7,0,1,"0098",
7,0,2,"0069",
7,0,2,"0187",
7,0,2,"000E",
7,0,2,"00A4",
7,0,2,"011C",
7,0,2,"0179",
7,0,3,"0069",
7,0,3,"0187",
7,0,3,"000E",
7,0,3,"00A4",
7,0,3,"00B0",
7,0,3,"005D",
7,0,3,"0024",
7,0,3,"015C",
7,0,4,"0069",
7,0,4,"0187",
7,0,4,"000E",
7,0,4,"00A4",
7,0,4,"0190",
7,0,4,"00A8",
7,0,4,"0179",
7,0,4,"00A6",
7,0,5,"0069",
7,0,5,"0187",
7,0,5,"000E",
7,0,5,"00A4",
7,0,5,"008B",
7,0,6,"0069",
7,0,6,"0187",
7,0,6,"000E",
