scene,name,description,setup,room,object,
0,ydan,Inside the Deku Tree,0,3,"00BB",
0,ydan,Inside the Deku Tree,0,3,"015C",
0,ydan,Inside the Deku Tree,0,4,"0036",
0,ydan,Inside the Deku Tree,0,4,"001E",
0,ydan,Inside the Deku Tree,0,4,"0024",
0,ydan,Inside the Deku Tree,0,4,"0039",
0,ydan,Inside the Deku Tree,0,4,"0164",
0,ydan,Inside the Deku Tree,0,4,"000E",
0,ydan,Inside the Deku Tree,0,4,"00A4",
0,ydan,Inside the Deku Tree,0,4,"012B",
0,ydan,Inside the Deku Tree,0,4,"00B7",
0,ydan,Inside the Deku Tree,0,4,"00BB",
0,ydan,Inside the Deku Tree,0,5,"0036",
0,ydan,Inside the Deku Tree,0,5,"001E",
0,ydan,Inside the Deku Tree,0,5,"0024",
0,ydan,Inside the Deku Tree,0,5,"0039",
0,ydan,Inside the Deku Tree,0,5,"0164",
0,ydan,Inside the Deku Tree,0,5,"000E",
0,ydan,Inside the Deku Tree,0,5,"00A4",
0,ydan,Inside the Deku Tree,0,5,"012B",
0,ydan,Inside the Deku Tree,0,5,"00B7",
0,ydan,Inside the Deku Tree,0,5,"00BB",
0,ydan,Inside the Deku Tree,0,5,"015C",
0,ydan,Inside the Deku Tree,0,6,"0036",
0,ydan,Inside the Deku Tree,0,6,"001E",
0,ydan,Inside the Deku Tree,0,6,"0024",
0,ydan,Inside the Deku Tree,0,6,"0039",
0,ydan,Inside the Deku Tree,0,6,"004A",
0,ydan,Inside the Deku Tree,0,6,"000E",
0,ydan,Inside the Deku Tree,0,6,"00A4",
0,ydan,Inside the Deku Tree,0,6,"012B",
0,ydan,Inside the Deku Tree,0,6,"00B7",
0,ydan,Inside the Deku Tree,0,6,"00BB",
0,ydan,Inside the Deku Tree,0,7,"0036",
0,ydan,Inside the Deku Tree,0,7,"001E",
0,ydan,Inside the Deku Tree,0,7,"0024",
0,ydan,Inside the Deku Tree,0,7,"0039",
0,ydan,Inside the Deku Tree,0,7,"0164",
0,ydan,Inside the Deku Tree,0,7,"000E",
0,ydan,Inside the Deku Tree,0,7,"00A4",
0,ydan,Inside the Deku Tree,0,7,"012B",
0,ydan,Inside the Deku Tree,0,7,"00B7",
0,ydan,Inside the Deku Tree,0,7,"00BB",
0,ydan,Inside the Deku Tree,0,7,"018A",
0,ydan,Inside the Deku Tree,0,8,"0036",
0,ydan,Inside the Deku Tree,0,8,"001E",
0,ydan,Inside the Deku Tree,0,8,"0024",
0,ydan,Inside the Deku Tree,0,8,"0039",
0,ydan,Inside the Deku Tree,0,8,"0164",
0,ydan,Inside the Deku Tree,0,8,"000E",
0,ydan,Inside the Deku Tree,0,8,"00A4",
0,ydan,Inside the Deku Tree,0,8,"012B",
0,ydan,Inside the Deku Tree,0,8,"00B7",
0,ydan,Inside the Deku Tree,0,8,"00BB",
0,ydan,Inside the Deku Tree,0,8,"015C",
0,ydan,Inside the Deku Tree,0,9,"0036",
0,ydan,Inside the Deku Tree,0,9,"001E",
0,ydan,Inside the Deku Tree,0,9,"0024",
0,ydan,Inside the Deku Tree,0,9,"0039",
0,ydan,Inside the Deku Tree,0,9,"0164",
0,ydan,Inside the Deku Tree,0,9,"000E",
0,ydan,Inside the Deku Tree,0,9,"00A4",
0,ydan,Inside the Deku Tree,0,9,"012B",
0,ydan,Inside the Deku Tree,0,9,"00B7",
0,ydan,Inside the Deku Tree,0,9,"00BB",
0,ydan,Inside the Deku Tree,0,10,"0036",
0,ydan,Inside the Deku Tree,0,10,"001E",
0,ydan,Inside the Deku Tree,0,10,"0024",
0,ydan,Inside the Deku Tree,0,10,"0039",
0,ydan,Inside the Deku Tree,0,10,"0164",
0,ydan,Inside the Deku Tree,0,10,"000E",
0,ydan,Inside the Deku Tree,0,10,"00A4",
0,ydan,Inside the Deku Tree,0,10,"012B",
0,ydan,Inside the Deku Tree,0,10,"00B7",
0,ydan,Inside the Deku Tree,0,10,"00BB",
0,ydan,Inside the Deku Tree,0,10,"015C",
0,ydan,Inside the Deku Tree,0,11,"0036",
0,ydan,Inside the Deku Tree,0,11,"001E",
0,ydan,Inside the Deku Tree,0,11,"0024",
0,ydan,Inside the Deku Tree,0,11,"0039",
0,ydan,Inside the Deku Tree,0,11,"0164",
0,ydan,Inside the Deku Tree,0,11,"000E",
0,ydan,Inside the Deku Tree,0,11,"00A4",
0,ydan,Inside the Deku Tree,0,11,"012B",
0,ydan,Inside the Deku Tree,0,11,"00B7",
0,ydan,Inside the Deku Tree,0,11,"00BB",
1,ddan,Dodongo's Cavern,0,0,"002B",
1,ddan,Dodongo's Cavern,0,0,"018A",
1,ddan,Dodongo's Cavern,0,0,"000D",
1,ddan,Dodongo's Cavern,0,0,"0031",
1,ddan,Dodongo's Cavern,0,0,"000E",
1,ddan,Dodongo's Cavern,0,0,"001F",
1,ddan,Dodongo's Cavern,0,0,"0038",
1,ddan,Dodongo's Cavern,0,0,"0085",
1,ddan,Dodongo's Cavern,0,0,"012B",
1,ddan,Dodongo's Cavern,0,0,"008B",
1,ddan,Dodongo's Cavern,0,0,"0177",
1,ddan,Dodongo's Cavern,0,0,"0168",
1,ddan,Dodongo's Cavern,0,0,"0024",
1,ddan,Dodongo's Cavern,0,0,"0154",
1,ddan,Dodongo's Cavern,0,0,"0188",
1,ddan,Dodongo's Cavern,0,1,"002B",
1,ddan,Dodongo's Cavern,0,1,"018A",
1,ddan,Dodongo's Cavern,0,1,"000D",
1,ddan,Dodongo's Cavern,0,1,"0031",
1,ddan,Dodongo's Cavern,0,1,"000E",
1,ddan,Dodongo's Cavern,0,1,"001F",
1,ddan,Dodongo's Cavern,0,1,"0038",
1,ddan,Dodongo's Cavern,0,1,"0085",
1,ddan,Dodongo's Cavern,0,1,"012B",
1,ddan,Dodongo's Cavern,0,1,"008B",
1,ddan,Dodongo's Cavern,0,1,"0177",
1,ddan,Dodongo's Cavern,0,1,"0168",
1,ddan,Dodongo's Cavern,0,1,"0024",
1,ddan,Dodongo's Cavern,0,1,"0154",
1,ddan,Dodongo's Cavern,0,1,"0188",
1,ddan,Dodongo's Cavern,0,2,"002B",
1,ddan,Dodongo's Cavern,0,2,"018A",
1,ddan,Dodongo's Cavern,0,2,"0031",
1,ddan,Dodongo's Cavern,0,2,"0024",
1,ddan,Dodongo's Cavern,0,2,"015C",
1,ddan,Dodongo's Cavern,0,3,"002B",
1,ddan,Dodongo's Cavern,0,3,"018A",
1,ddan,Dodongo's Cavern,0,3,"001B",
1,ddan,Dodongo's Cavern,0,3,"00B7",
1,ddan,Dodongo's Cavern,0,4,"002B",
1,ddan,Dodongo's Cavern,0,4,"018A",
1,ddan,Dodongo's Cavern,0,4,"000D",
1,ddan,Dodongo's Cavern,0,4,"0031",
1,ddan,Dodongo's Cavern,0,4,"000E",
1,ddan,Dodongo's Cavern,0,4,"001F",
1,ddan,Dodongo's Cavern,0,4,"0038",
1,ddan,Dodongo's Cavern,0,4,"0085",
1,ddan,Dodongo's Cavern,0,4,"012B",
1,ddan,Dodongo's Cavern,0,4,"008B",
1,ddan,Dodongo's Cavern,0,4,"00A4",
1,ddan,Dodongo's Cavern,0,4,"000C",
1,ddan,Dodongo's Cavern,0,5,"002B",
1,ddan,Dodongo's Cavern,0,5,"018A",
1,ddan,Dodongo's Cavern,0,5,"0038",
1,ddan,Dodongo's Cavern,0,5,"0031",
1,ddan,Dodongo's Cavern,0,5,"000D",
1,ddan,Dodongo's Cavern,0,6,"002B",
1,ddan,Dodongo's Cavern,0,6,"018A",
1,ddan,Dodongo's Cavern,0,6,"0168",
1,ddan,Dodongo's Cavern,0,7,"002B",
1,ddan,Dodongo's Cavern,0,7,"018A",
1,ddan,Dodongo's Cavern,0,7,"000D",
1,ddan,Dodongo's Cavern,0,7,"012B",
1,ddan,Dodongo's Cavern,0,7,"001F",
1,ddan,Dodongo's Cavern,0,8,"002B",
1,ddan,Dodongo's Cavern,0,8,"018A",
1,ddan,Dodongo's Cavern,0,8,"000D",
1,ddan,Dodongo's Cavern,0,8,"012B",
1,ddan,Dodongo's Cavern,0,8,"001F",
1,ddan,Dodongo's Cavern,0,9,"002B",
1,ddan,Dodongo's Cavern,0,9,"018A",
1,ddan,Dodongo's Cavern,0,9,"000D",
1,ddan,Dodongo's Cavern,0,9,"0031",
1,ddan,Dodongo's Cavern,0,9,"000E",
1,ddan,Dodongo's Cavern,0,9,"001F",
1,ddan,Dodongo's Cavern,0,9,"0038",
1,ddan,Dodongo's Cavern,0,9,"0085",
1,ddan,Dodongo's Cavern,0,9,"012B",
1,ddan,Dodongo's Cavern,0,9,"008B",
1,ddan,Dodongo's Cavern,0,9,"00B7",
1,ddan,Dodongo's Cavern,0,9,"0168",
1,ddan,Dodongo's Cavern,0,9,"0024",
1,ddan,Dodongo's Cavern,0,9,"0154",
1,ddan,Dodongo's Cavern,0,9,"0188",
1,ddan,Dodongo's Cavern,0,10,"002B",
1,ddan,Dodongo's Cavern,0,10,"018A",
1,ddan,Dodongo's Cavern,0,10,"000D",
1,ddan,Dodongo's Cavern,0,10,"0031",
1,ddan,Dodongo's Cavern,0,10,"000E",
1,ddan,Dodongo's Cavern,0,10,"001F",
1,ddan,Dodongo's Cavern,0,10,"0038",
1,ddan,Dodongo's Cavern,0,10,"0085",
1,ddan,Dodongo's Cavern,0,10,"012B",
1,ddan,Dodongo's Cavern,0,10,"008B",
1,ddan,Dodongo's Cavern,0,10,"0177",
1,ddan,Dodongo's Cavern,0,10,"0168",
1,ddan,Dodongo's Cavern,0,10,"0024",
1,ddan,Dodongo's Cavern,0,10,"0154",
1,ddan,Dodongo's Cavern,0,10,"0188",
1,ddan,Dodongo's Cavern,0,11,"002B",
1,ddan,Dodongo's Cavern,0,11,"018A",
1,ddan,Dodongo's Cavern,0,11,"000D",
1,ddan,Dodongo's Cavern,0,11,"0024",
1,ddan,Dodongo's Cavern,0,11,"015C",
1,ddan,Dodongo's Cavern,0,11,"00A4",
1,ddan,Dodongo's Cavern,0,12,"002B",
1,ddan,Dodongo's Cavern,0,12,"018A",
1,ddan,Dodongo's Cavern,0,12,"000D",
1,ddan,Dodongo's Cavern,0,12,"0031",
1,ddan,Dodongo's Cavern,0,12,"000E",
1,ddan,Dodongo's Cavern,0,12,"001F",
1,ddan,Dodongo's Cavern,0,12,"0038",
1,ddan,Dodongo's Cavern,0,12,"0085",
1,ddan,Dodongo's Cavern,0,12,"012B",
1,ddan,Dodongo's Cavern,0,12,"008B",
1,ddan,Dodongo's Cavern,0,12,"0177",
1,ddan,Dodongo's Cavern,0,12,"0168",
1,ddan,Dodongo's Cavern,0,12,"0024",
1,ddan,Dodongo's Cavern,0,12,"0154",
1,ddan,Dodongo's Cavern,0,12,"0188",
1,ddan,Dodongo's Cavern,0,13,"002B",
1,ddan,Dodongo's Cavern,0,13,"018A",
1,ddan,Dodongo's Cavern,0,13,"000D",
1,ddan,Dodongo's Cavern,0,13,"000E",
1,ddan,Dodongo's Cavern,0,13,"00A4",
1,ddan,Dodongo's Cavern,0,13,"012B",
1,ddan,Dodongo's Cavern,0,13,"0168",
1,ddan,Dodongo's Cavern,0,14,"002B",
1,ddan,Dodongo's Cavern,0,14,"018A",
1,ddan,Dodongo's Cavern,0,14,"000D",
1,ddan,Dodongo's Cavern,0,14,"00A4",
1,ddan,Dodongo's Cavern,0,14,"0024",
1,ddan,Dodongo's Cavern,0,14,"015C",
1,ddan,Dodongo's Cavern,0,14,"0038",
1,ddan,Dodongo's Cavern,0,15,"002B",
1,ddan,Dodongo's Cavern,0,15,"018A",
1,ddan,Dodongo's Cavern,0,15,"0038",
1,ddan,Dodongo's Cavern,0,15,"000E",
1,ddan,Dodongo's Cavern,0,15,"0031",
1,ddan,Dodongo's Cavern,0,16,"002B",
1,ddan,Dodongo's Cavern,0,16,"018A",
2,bdan,Inside Jabu-Jabu's Belly,0,0,"0096",
2,bdan,Inside Jabu-Jabu's Belly,0,0,"00A3",
2,bdan,Inside Jabu-Jabu's Belly,0,0,"0007",
2,bdan,Inside Jabu-Jabu's Belly,0,0,"0012",
2,bdan,Inside Jabu-Jabu's Belly,0,0,"0021",
2,bdan,Inside Jabu-Jabu's Belly,0,0,"0056",
2,bdan,Inside Jabu-Jabu's Belly,0,0,"0026",
2,bdan,Inside Jabu-Jabu's Belly,0,1,"0096",
2,bdan,Inside Jabu-Jabu's Belly,0,1,"00A3",
2,bdan,Inside Jabu-Jabu's Belly,0,1,"0007",
2,bdan,Inside Jabu-Jabu's Belly,0,1,"0012",
2,bdan,Inside Jabu-Jabu's Belly,0,1,"0021",
2,bdan,Inside Jabu-Jabu's Belly,0,1,"0056",
2,bdan,Inside Jabu-Jabu's Belly,0,1,"0026",
2,bdan,Inside Jabu-Jabu's Belly,0,1,"00BD",
2,bdan,Inside Jabu-Jabu's Belly,0,1,"00B7",
2,bdan,Inside Jabu-Jabu's Belly,0,1,"0168",
2,bdan,Inside Jabu-Jabu's Belly,0,2,"0096",
2,bdan,Inside Jabu-Jabu's Belly,0,2,"00A3",
2,bdan,Inside Jabu-Jabu's Belly,0,2,"0007",
2,bdan,Inside Jabu-Jabu's Belly,0,2,"0012",
2,bdan,Inside Jabu-Jabu's Belly,0,2,"0021",
2,bdan,Inside Jabu-Jabu's Belly,0,2,"0056",
2,bdan,Inside Jabu-Jabu's Belly,0,2,"0026",
2,bdan,Inside Jabu-Jabu's Belly,0,2,"00D5",
2,bdan,Inside Jabu-Jabu's Belly,0,2,"0024",
2,bdan,Inside Jabu-Jabu's Belly,0,2,"015C",
2,bdan,Inside Jabu-Jabu's Belly,0,3,"0096",
2,bdan,Inside Jabu-Jabu's Belly,0,3,"00A3",
2,bdan,Inside Jabu-Jabu's Belly,0,3,"0007",
2,bdan,Inside Jabu-Jabu's Belly,0,3,"0012",
2,bdan,Inside Jabu-Jabu's Belly,0,3,"0021",
2,bdan,Inside Jabu-Jabu's Belly,0,3,"0056",
2,bdan,Inside Jabu-Jabu's Belly,0,3,"0026",
2,bdan,Inside Jabu-Jabu's Belly,0,3,"00D5",
2,bdan,Inside Jabu-Jabu's Belly,0,3,"0024",
2,bdan,Inside Jabu-Jabu's Belly,0,3,"015C",
2,bdan,Inside Jabu-Jabu's Belly,0,4,"0096",
2,bdan,Inside Jabu-Jabu's Belly,0,4,"00A3",
2,bdan,Inside Jabu-Jabu's Belly,0,4,"0007",
2,bdan,Inside Jabu-Jabu's Belly,0,4,"0012",
2,bdan,Inside Jabu-Jabu's Belly,0,4,"0021",
2,bdan,Inside Jabu-Jabu's Belly,0,4,"0056",
2,bdan,Inside Jabu-Jabu's Belly,0,4,"0026",
2,bdan,Inside Jabu-Jabu's Belly,0,4,"00AC",
2,bdan,Inside Jabu-Jabu's Belly,0,5,"0096",
2,bdan,Inside Jabu-Jabu's Belly,0,5,"00A3",
2,bdan,Inside Jabu-Jabu's Belly,0,5,"0007",
2,bdan,Inside Jabu-Jabu's Belly,0,5,"0012",
2,bdan,Inside Jabu-Jabu's Belly,0,5,"0021",
2,bdan,Inside Jabu-Jabu's Belly,0,5,"0056",
2,bdan,Inside Jabu-Jabu's Belly,0,5,"0026",
2,bdan,Inside Jabu-Jabu's Belly,0,5,"00AC",
2,bdan,Inside Jabu-Jabu's Belly,0,5,"0024",
2,bdan,Inside Jabu-Jabu's Belly,0,5,"015C",
2,bdan,Inside Jabu-Jabu's Belly,0,6,"0096",
2,bdan,Inside Jabu-Jabu's Belly,0,6,"00A3",
2,bdan,Inside Jabu-Jabu's Belly,0,6,"015F",
2,bdan,Inside Jabu-Jabu's Belly,0,6,"0012",
2,bdan,Inside Jabu-Jabu's Belly,0,6,"0021",
2,bdan,Inside Jabu-Jabu's Belly,0,6,"0056",
2,bdan,Inside Jabu-Jabu's Belly,0,6,"0026",
2,bdan,Inside Jabu-Jabu's Belly,0,6,"0090",
2,bdan,Inside Jabu-Jabu's Belly,0,6,"00AD",
2,bdan,Inside Jabu-Jabu's Belly,0,6,"00B7",
2,bdan,Inside Jabu-Jabu's Belly,0,7,"0096",
2,bdan,Inside Jabu-Jabu's Belly,0,7,"00A3",
2,bdan,Inside Jabu-Jabu's Belly,0,7,"0007",
2,bdan,Inside Jabu-Jabu's Belly,0,7,"0012",
2,bdan,Inside Jabu-Jabu's Belly,0,7,"0021",
2,bdan,Inside Jabu-Jabu's Belly,0,7,"0056",
2,bdan,Inside Jabu-Jabu's Belly,0,7,"0026",
2,bdan,Inside Jabu-Jabu's Belly,0,7,"00D5",
2,bdan,Inside Jabu-Jabu's Belly,0,7,"0022",
2,bdan,Inside Jabu-Jabu's Belly,0,8,"0096",
2,bdan,Inside Jabu-Jabu's Belly,0,8,"00A3",
2,bdan,Inside Jabu-Jabu's Belly,0,8,"0007",
2,bdan,Inside Jabu-Jabu's Belly,0,8,"0012",
2,bdan,Inside Jabu-Jabu's Belly,0,8,"0021",
2,bdan,Inside Jabu-Jabu's Belly,0,8,"0056",
2,bdan,Inside Jabu-Jabu's Belly,0,8,"0026",
2,bdan,Inside Jabu-Jabu's Belly,0,8,"00D5",
2,bdan,Inside Jabu-Jabu's Belly,0,8,"000E",
2,bdan,Inside Jabu-Jabu's Belly,0,8,"0090",
2,bdan,Inside Jabu-Jabu's Belly,0,9,"0096",
2,bdan,Inside Jabu-Jabu's Belly,0,9,"00A3",
2,bdan,Inside Jabu-Jabu's Belly,0,9,"0007",
2,bdan,Inside Jabu-Jabu's Belly,0,9,"0012",
2,bdan,Inside Jabu-Jabu's Belly,0,9,"0021",
2,bdan,Inside Jabu-Jabu's Belly,0,9,"0056",
2,bdan,Inside Jabu-Jabu's Belly,0,9,"0026",
2,bdan,Inside Jabu-Jabu's Belly,0,9,"000E",
2,bdan,Inside Jabu-Jabu's Belly,0,9,"0090",
2,bdan,Inside Jabu-Jabu's Belly,0,10,"0096",
2,bdan,Inside Jabu-Jabu's Belly,0,10,"00A3",
2,bdan,Inside Jabu-Jabu's Belly,0,10,"0007",
2,bdan,Inside Jabu-Jabu's Belly,0,10,"0012",
2,bdan,Inside Jabu-Jabu's Belly,0,10,"0021",
2,bdan,Inside Jabu-Jabu's Belly,0,10,"0056",
2,bdan,Inside Jabu-Jabu's Belly,0,10,"0026",
2,bdan,Inside Jabu-Jabu's Belly,0,10,"00D5",
2,bdan,Inside Jabu-Jabu's Belly,0,10,"000E",
2,bdan,Inside Jabu-Jabu's Belly,0,10,"0090",
2,bdan,Inside Jabu-Jabu's Belly,0,11,"0096",
2,bdan,Inside Jabu-Jabu's Belly,0,11,"00A3",
2,bdan,Inside Jabu-Jabu's Belly,0,11,"0007",
2,bdan,Inside Jabu-Jabu's Belly,0,11,"0012",
2,bdan,Inside Jabu-Jabu's Belly,0,11,"0021",
2,bdan,Inside Jabu-Jabu's Belly,0,11,"0056",
2,bdan,Inside Jabu-Jabu's Belly,0,11,"0026",
2,bdan,Inside Jabu-Jabu's Belly,0,11,"00D5",
2,bdan,Inside Jabu-Jabu's Belly,0,11,"000E",
2,bdan,Inside Jabu-Jabu's Belly,0,12,"0096",
2,bdan,Inside Jabu-Jabu's Belly,0,12,"00A3",
2,bdan,Inside Jabu-Jabu's Belly,0,12,"0007",
2,bdan,Inside Jabu-Jabu's Belly,0,12,"0012",
2,bdan,Inside Jabu-Jabu's Belly,0,12,"0021",
2,bdan,Inside Jabu-Jabu's Belly,0,12,"0056",
2,bdan,Inside Jabu-Jabu's Belly,0,12,"0026",
2,bdan,Inside Jabu-Jabu's Belly,0,12,"000E",
2,bdan,Inside Jabu-Jabu's Belly,0,12,"0090",
2,bdan,Inside Jabu-Jabu's Belly,0,13,"0096",
2,bdan,Inside Jabu-Jabu's Belly,0,13,"00A3",
2,bdan,Inside Jabu-Jabu's Belly,0,13,"0007",
2,bdan,Inside Jabu-Jabu's Belly,0,13,"0012",
2,bdan,Inside Jabu-Jabu's Belly,0,13,"0021",
2,bdan,Inside Jabu-Jabu's Belly,0,13,"0056",
2,bdan,Inside Jabu-Jabu's Belly,0,13,"0026",
2,bdan,Inside Jabu-Jabu's Belly,0,13,"00AC",
2,bdan,Inside Jabu-Jabu's Belly,0,13,"00BD",
2,bdan,Inside Jabu-Jabu's Belly,0,14,"0096",
2,bdan,Inside Jabu-Jabu's Belly,0,14,"00A3",
2,bdan,Inside Jabu-Jabu's Belly,0,14,"0007",
2,bdan,Inside Jabu-Jabu's Belly,0,14,"0012",
2,bdan,Inside Jabu-Jabu's Belly,0,14,"0021",
2,bdan,Inside Jabu-Jabu's Belly,0,14,"0056",
2,bdan,Inside Jabu-Jabu's Belly,0,14,"0026",
2,bdan,Inside Jabu-Jabu's Belly,0,14,"00B7",
2,bdan,Inside Jabu-Jabu's Belly,0,14,"0024",
2,bdan,Inside Jabu-Jabu's Belly,0,14,"015C",
2,bdan,Inside Jabu-Jabu's Belly,0,15,"0096",
2,bdan,Inside Jabu-Jabu's Belly,0,15,"00A3",
2,bdan,Inside Jabu-Jabu's Belly,0,15,"0007",
2,bdan,Inside Jabu-Jabu's Belly,0,15,"0012",
2,bdan,Inside Jabu-Jabu's Belly,0,15,"0021",
2,bdan,Inside Jabu-Jabu's Belly,0,15,"0056",
2,bdan,Inside Jabu-Jabu's Belly,0,15,"0026",
2,bdan,Inside Jabu-Jabu's Belly,0,15,"00AC",
3,bmori1,Forest Temple,0,0,"0073",
3,bmori1,Forest Temple,0,0,"0072",
3,bmori1,Forest Temple,0,0,"0183",
3,bmori1,Forest Temple,0,0,"005D",
3,bmori1,Forest Temple,0,0,"0024",
3,bmori1,Forest Temple,0,0,"00A4",
3,bmori1,Forest Temple,0,0,"000E",
3,bmori1,Forest Temple,0,0,"0039",
3,bmori1,Forest Temple,0,0,"015C",
3,bmori1,Forest Temple,0,1,"0073",
3,bmori1,Forest Temple,0,1,"0072",
3,bmori1,Forest Temple,0,1,"0099",
3,bmori1,Forest Temple,0,1,"005D",
3,bmori1,Forest Temple,0,1,"0024",
3,bmori1,Forest Temple,0,1,"00A4",
3,bmori1,Forest Temple,0,1,"000E",
3,bmori1,Forest Temple,0,1,"0039",
3,bmori1,Forest Temple,0,1,"0190",
3,bmori1,Forest Temple,0,1,"00A8",
3,bmori1,Forest Temple,0,2,"0073",
3,bmori1,Forest Temple,0,2,"0072",
3,bmori1,Forest Temple,0,2,"0099",
3,bmori1,Forest Temple,0,2,"005D",
3,bmori1,Forest Temple,0,2,"0024",
3,bmori1,Forest Temple,0,2,"00A4",
3,bmori1,Forest Temple,0,2,"000E",
3,bmori1,Forest Temple,0,2,"0007",
3,bmori1,Forest Temple,0,2,"0039",
3,bmori1,Forest Temple,0,2,"00B7",
3,bmori1,Forest Temple,0,2,"015C",
3,bmori1,Forest Temple,0,2,"0190",
3,bmori1,Forest Temple,0,2,"00A8",
3,bmori1,Forest Temple,0,3,"0073",
3,bmori1,Forest Temple,0,3,"0072",
3,bmori1,Forest Temple,0,3,"0099",
3,bmori1,Forest Temple,0,3,"005D",
3,bmori1,Forest Temple,0,3,"0024",
3,bmori1,Forest Temple,0,3,"00A4",
3,bmori1,Forest Temple,0,4,"0073",
3,bmori1,Forest Temple,0,4,"0072",
3,bmori1,Forest Temple,0,4,"0099",
3,bmori1,Forest Temple,0,4,"005D",
3,bmori1,Forest Temple,0,4,"0024",
3,bmori1,Forest Temple,0,4,"00A4",
3,bmori1,Forest Temple,0,5,"0073",
3,bmori1,Forest Temple,0,5,"0072",
3,bmori1,Forest Temple,0,5,"0099",
3,bmori1,Forest Temple,0,5,"005D",
3,bmori1,Forest Temple,0,5,"0024",
3,bmori1,Forest Temple,0,5,"00A4",
3,bmori1,Forest Temple,0,6,"0073",
3,bmori1,Forest Temple,0,6,"0072",
3,bmori1,Forest Temple,0,6,"0099",
3,bmori1,Forest Temple,0,6,"00A4",
3,bmori1,Forest Temple,0,6,"000E",
3,bmori1,Forest Temple,0,6,"0090",
3,bmori1,Forest Temple,0,6,"005C",
3,bmori1,Forest Temple,0,6,"006F",
3,bmori1,Forest Temple,0,6,"0032",
3,bmori1,Forest Temple,0,7,"0073",
3,bmori1,Forest Temple,0,7,"0072",
3,bmori1,Forest Temple,0,7,"011C",
3,bmori1,Forest Temple,0,7,"0154",
3,bmori1,Forest Temple,0,7,"0024",
3,bmori1,Forest Temple,0,7,"00A4",
3,bmori1,Forest Temple,0,7,"000E",
3,bmori1,Forest Temple,0,7,"0007",
3,bmori1,Forest Temple,0,7,"0039",
3,bmori1,Forest Temple,0,7,"00B7",
3,bmori1,Forest Temple,0,7,"015C",
3,bmori1,Forest Temple,0,8,"0073",
3,bmori1,Forest Temple,0,8,"0072",
3,bmori1,Forest Temple,0,8,"0099",
3,bmori1,Forest Temple,0,8,"005D",
3,bmori1,Forest Temple,0,8,"0024",
3,bmori1,Forest Temple,0,8,"00A4",
3,bmori1,Forest Temple,0,8,"000E",
3,bmori1,Forest Temple,0,8,"0007",
3,bmori1,Forest Temple,0,8,"0039",
3,bmori1,Forest Temple,0,8,"00B7",
3,bmori1,Forest Temple,0,8,"015C",
3,bmori1,Forest Temple,0,8,"0190",
3,bmori1,Forest Temple,0,8,"00A8",
3,bmori1,Forest Temple,0,9,"0073",
3,bmori1,Forest Temple,0,9,"0072",
3,bmori1,Forest Temple,0,9,"0099",
3,bmori1,Forest Temple,0,9,"005D",
3,bmori1,Forest Temple,0,9,"0024",
3,bmori1,Forest Temple,0,9,"00A4",
3,bmori1,Forest Temple,0,9,"000E",
3,bmori1,Forest Temple,0,9,"0007",
3,bmori1,Forest Temple,0,9,"0039",
3,bmori1,Forest Temple,0,9,"00B7",
